retain,move,depth,query
1028,14954,2,UPDATE ovc_care_health SET facility_id=1028 WHERE facility_id=14954;
4680,17019,2,UPDATE ovc_care_health SET facility_id=4680 WHERE facility_id=17019;
5159,24244,2,UPDATE ovc_care_health SET facility_id=5159 WHERE facility_id=24244;
10811,20194,2,UPDATE ovc_care_health SET facility_id=10811 WHERE facility_id=20194;
6606,9637,3,UPDATE ovc_care_health SET facility_id=6606 WHERE facility_id=9637;
6606,18444,3,UPDATE ovc_care_health SET facility_id=6606 WHERE facility_id=18444;
12198,22130,2,UPDATE ovc_care_health SET facility_id=12198 WHERE facility_id=22130;
3623,3731,3,UPDATE ovc_care_health SET facility_id=3623 WHERE facility_id=3731;
3623,15342,3,UPDATE ovc_care_health SET facility_id=3623 WHERE facility_id=15342;
1363,16218,2,UPDATE ovc_care_health SET facility_id=1363 WHERE facility_id=16218;
4778,18035,2,UPDATE ovc_care_health SET facility_id=4778 WHERE facility_id=18035;
10866,20917,2,UPDATE ovc_care_health SET facility_id=10866 WHERE facility_id=20917;
13362,22952,2,UPDATE ovc_care_health SET facility_id=13362 WHERE facility_id=22952;
2858,9028,3,UPDATE ovc_care_health SET facility_id=2858 WHERE facility_id=9028;
2858,15858,3,UPDATE ovc_care_health SET facility_id=2858 WHERE facility_id=15858;
7660,20103,2,UPDATE ovc_care_health SET facility_id=7660 WHERE facility_id=20103;
8803,18015,2,UPDATE ovc_care_health SET facility_id=8803 WHERE facility_id=18015;
224,18341,2,UPDATE ovc_care_health SET facility_id=224 WHERE facility_id=18341;
1517,11005,3,UPDATE ovc_care_health SET facility_id=1517 WHERE facility_id=11005;
1517,20464,3,UPDATE ovc_care_health SET facility_id=1517 WHERE facility_id=20464;
5899,16796,2,UPDATE ovc_care_health SET facility_id=5899 WHERE facility_id=16796;
24,21429,2,UPDATE ovc_care_health SET facility_id=24 WHERE facility_id=21429;
760,16420,2,UPDATE ovc_care_health SET facility_id=760 WHERE facility_id=16420;
8247,14938,2,UPDATE ovc_care_health SET facility_id=8247 WHERE facility_id=14938;
6908,13492,3,UPDATE ovc_care_health SET facility_id=6908 WHERE facility_id=13492;
6908,23030,3,UPDATE ovc_care_health SET facility_id=6908 WHERE facility_id=23030;
5772,16039,2,UPDATE ovc_care_health SET facility_id=5772 WHERE facility_id=16039;
1747,13476,3,UPDATE ovc_care_health SET facility_id=1747 WHERE facility_id=13476;
1747,22995,3,UPDATE ovc_care_health SET facility_id=1747 WHERE facility_id=22995;
8196,19607,2,UPDATE ovc_care_health SET facility_id=8196 WHERE facility_id=19607;
5657,19625,2,UPDATE ovc_care_health SET facility_id=5657 WHERE facility_id=19625;
5396,10136,3,UPDATE ovc_care_health SET facility_id=5396 WHERE facility_id=10136;
5396,23501,3,UPDATE ovc_care_health SET facility_id=5396 WHERE facility_id=23501;
5615,19464,2,UPDATE ovc_care_health SET facility_id=5615 WHERE facility_id=19464;
2875,9525,3,UPDATE ovc_care_health SET facility_id=2875 WHERE facility_id=9525;
2875,18039,3,UPDATE ovc_care_health SET facility_id=2875 WHERE facility_id=18039;
1903,12017,3,UPDATE ovc_care_health SET facility_id=1903 WHERE facility_id=12017;
1903,21426,3,UPDATE ovc_care_health SET facility_id=1903 WHERE facility_id=21426;
1196,11302,3,UPDATE ovc_care_health SET facility_id=1196 WHERE facility_id=11302;
1196,20801,3,UPDATE ovc_care_health SET facility_id=1196 WHERE facility_id=20801;
1164,10556,3,UPDATE ovc_care_health SET facility_id=1164 WHERE facility_id=10556;
1164,19544,3,UPDATE ovc_care_health SET facility_id=1164 WHERE facility_id=19544;
1705,10192,3,UPDATE ovc_care_health SET facility_id=1705 WHERE facility_id=10192;
1705,23258,3,UPDATE ovc_care_health SET facility_id=1705 WHERE facility_id=23258;
13023,22714,2,UPDATE ovc_care_health SET facility_id=13023 WHERE facility_id=22714;
13059,22736,2,UPDATE ovc_care_health SET facility_id=13059 WHERE facility_id=22736;
8057,11631,3,UPDATE ovc_care_health SET facility_id=8057 WHERE facility_id=11631;
8057,21125,3,UPDATE ovc_care_health SET facility_id=8057 WHERE facility_id=21125;
6186,13613,3,UPDATE ovc_care_health SET facility_id=6186 WHERE facility_id=13613;
6186,19072,3,UPDATE ovc_care_health SET facility_id=6186 WHERE facility_id=19072;
