household_head_id,hh_id_to_retain,hh_id_to_move,tree_depth
2243232,62d90e02-f6fd-471a-8eef-707d796c06c6,71136778-dce2-461b-8fef-c376631acee9,2
1985083,5b1abf7c-cfe7-40e1-adb8-6e6716ccc23c,4d10ac9f-0985-4413-a906-553738e026cf,2
3381107,4204aaa4-7b94-4292-bbeb-a2f74f649a2e,beb1c2b5-46fb-442b-8826-d3d7841b136a,2
3381102,2614c5e6-fda8-4ad9-be98-849c30138912,58d3a356-2ab0-4e6f-aad9-bd062b9ac693,2
1763153,acc9fdee-091f-4bb6-af4c-6c413ecc6e67,095fea5a-6827-444d-a97e-7a370dbdf8a7,2
3381100,bb7ade59-8c4e-46de-bcc8-8835ebaa2e82,333d63bd-a5b8-40f6-b10b-e4739f1d03b7,2
2238251,ff3aa56a-02b4-4fde-99bf-a3e726717f56,f78df606-6502-4586-a380-7ea7b4292c10,6
2238251,ff3aa56a-02b4-4fde-99bf-a3e726717f56,c3be8a6d-0dd2-487b-9040-f7ee3e9a250c,6
2238251,ff3aa56a-02b4-4fde-99bf-a3e726717f56,60b476c2-ac93-4dac-895d-7eb576c4351a,6
2238251,ff3aa56a-02b4-4fde-99bf-a3e726717f56,7a4339de-8db0-433c-9ff4-ccafb8b8fc47,6
2238251,ff3aa56a-02b4-4fde-99bf-a3e726717f56,5b8cb3b1-11b4-4bec-a2c2-6f77cc687ce7,6
2238252,a054dfee-7a8f-45b0-ac20-186f608f0943,26659772-a35d-4966-87a9-98f9253f9a0b,2
2238258,89520ed3-854a-49e3-97f5-45e3114a925e,3b21920f-588e-4974-a733-92e6a166c978,3
2238258,89520ed3-854a-49e3-97f5-45e3114a925e,28362cf7-4378-4300-8a99-3166e4d06c06,3
3197391,50ddc508-59d7-4e19-97fa-5f6554746eab,b34e6439-f1b6-47c3-88cd-e00b691cbd3a,2
3326451,1f9bd4f1-d961-4ecc-aaec-b4ea1e039b4b,74d3df6c-c86d-4e99-8f27-def14bdff70b,3
3326451,1f9bd4f1-d961-4ecc-aaec-b4ea1e039b4b,5946dad8-e577-4201-b677-afee7dba131d,3
3366232,ea54470c-4a16-4dcd-882f-83b777f7fd6d,baa0174c-16ea-4b00-94eb-b6a707a599a2,2
3373517,fe3a160a-ede5-42cb-b747-37548a254744,2a25746c-b634-4060-b47b-1ae72e52a44c,4
3373517,fe3a160a-ede5-42cb-b747-37548a254744,2989bb46-2a7b-45e5-8754-0f3e946ed868,4
3373517,fe3a160a-ede5-42cb-b747-37548a254744,cdbe1984-eb15-4330-9aec-163b1f84df49,4
3389240,f3dd99f4-3fd2-426c-9367-246e60603e84,ea3b5519-e876-4df8-9c7a-14759645423c,5
3389240,f3dd99f4-3fd2-426c-9367-246e60603e84,dc32b74a-2bfe-4acd-936e-051a98f31e78,5
3389240,f3dd99f4-3fd2-426c-9367-246e60603e84,fc21cdaa-af5a-4c58-b39c-6369e50f239f,5
3389240,f3dd99f4-3fd2-426c-9367-246e60603e84,c9e59e84-0993-4c23-8a79-4e5eb8f7a02e,5
3389247,fd92b9b6-e026-49ea-893e-580c4ac6a9f6,f15e39bc-3519-4eb3-aaa2-7f4bbc8c0ef3,5
